RuleID,RuleName,LostType,SeverityLevel,ApplicableFormationType,FormationProperties,GeologicalFeatures,MechanismShort,MechanismDetail,ConditionsText,ConditionsStructured,TimePattern,IdentificationFeatures,TypicalCurve,KeyParameters,MeasurementMethods,RiskLevel,TypicalLossRate,LossBehavior,Source
MR_011,裂缝漏失发生的必要条件（井底压力高于裂缝内压力）,裂缝性漏失,中度–重度,"[""裂缝性碳酸盐岩"", ""裂缝性砂岩""]","{""fracture_aperture"":""中等"",""fracture_conductivity"":""中""}","[""天然裂缝"", ""剪切裂缝""]",裂缝漏失发生的必要条,"概述：裂缝漏失发生的必要条件是井底压力高于裂缝内流体压力。
当井底压力Pw超过裂缝内流体压力Pp时，钻井液被压入裂缝通道并开始漏失。该条件在所有裂缝性漏失中均适用，是裂缝导流的基本驱动力。若Pw≤Pp，则裂缝不导流或导流能力极弱，可以通过欠平衡或微欠平衡钻井降低裂缝漏失风险。",Pw > Pp 是裂缝漏失发生的必要条件。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""Pp""}]",随压差增大漏速迅速增加,"[""Pw上升后立即发"", ""返速降低"", ""泵压变化与压差相""]",压差驱动型,"[""Pw"", ""Pp"", ""fracture_ape"", ""mud_density"", ""ECD""]","[""井底压力计算"", ""泵压与ECD分析""]",中–高,随压差增加而快速增大,压差越大，裂缝导流能力越强，漏失可能迅速恶化。,《井漏机理和对策》
MR_012,裂缝漏失累积量随时间呈平方根增长规律,裂缝性漏失,中度,"[""裂缝性储层""]","{""fracture_conductivity"":""中"",""fluid_viscosity"":""中""}","[""天然裂缝""]",裂缝漏失累积量随时间,"概述：裂缝漏失累积量随时间常呈平方根增长特征，可用于估算裂缝渗流能力。
裂缝漏失累积量在许多情况下可近似表示为V≈V0+C√t，反映出裂缝渗流受非稳态扩散过程控制。平方根增长规律可用于拟合现场漏失数据，从而估算裂缝导流能力和钻井液黏度等参数，为机理识别与参数反演提供依据。",裂缝为有限长度且导流能力中等，钻井液黏度适中。,"[{""param"": ""V_cum"", ""op"": ""~"", ""value"": ""V0+C*sqr""}]",平方根型增长,"[""漏失累积曲线可与"", ""漏速随时间逐渐减""]",平方根增长型累积曲线,"[""V0"", ""C"", ""fracture_con"", ""mud_viscosit"", ""Pw""]","[""累积漏失量记录"", ""数学拟合分析""]",中,受裂缝导流能力控制,随着时间推移漏速下降但累积量持续增加。,《井漏机理和对策》
MR_013,裂缝剪切屈服条件下的漏失与停止判据,裂缝性漏失,重度,"[""剪切裂缝发育地层""]","{""fracture_aperture"":""中等"",""fluid_yield_stress"":""显著""}","[""剪切裂缝"", ""粗糙裂缝""]",裂缝剪切屈服条件下的,"概述：裂缝漏失是否持续取决于裂缝内压力梯度是否超过剪切屈服阈值。
裂缝内非牛顿钻井液的流动受其屈服应力控制。当裂缝中的压力梯度小于2τy/w时，泥浆不再产生足够剪切应变而停止流动，裂缝前缘停止推进，从而漏失终止；当压力梯度超过该阈值时裂缝内流动持续，漏失继续发展。该判据可用于指导通过提高屈服值来抑制裂缝漏失。",|∇p| ≥ 2τy / w 时裂缝内流动持续，漏失继续；小于该值时漏失停止。,"[{""param"": ""pressure_gra"", ""op"": "">="", ""value"": ""2*tau_y/""}]",取决于压力梯度变化,"[""泵压降低但仍持续"", ""提高流变参数后漏""]",梯度控制型漏失-时间,"[""tau_y"", ""w"", ""pressure_gra"", ""mud_viscosit""]","[""泵压曲线分析"", ""泥浆流变测试""]",高,在高梯度条件下可形成持续性高漏速,当压力梯度被压制后漏失可迅速终止，是流变性控制井漏的重要理论基础。,《井漏机理和对策》
MR_014,裂缝扩展导致持续高漏失,裂缝性漏失,重度–极重度,"[""天然裂缝与应力低"", ""破碎带""]","{""fracture_growth"":""可能"",""aperture_increase"":""显著""}","[""可扩展裂缝"", ""剪切破碎裂缝""]",裂缝扩展导致持续高漏,"概述：裂缝宽度与长度在高压差下不断增加，导致漏失持续加剧。
若井底压力长时间保持高位且地层岩石抗拉或抗剪强度较低，裂缝可能在原有基础上发生扩展，使裂缝开度和长度不断增加。裂缝扩展会显著提高导流能力，导致漏失持续加剧甚至呈加速趋势，是重度井漏难以控制的重要原因之一。",Pw 长期高于裂缝承压能力且地层具有可扩展性。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""fracture""}]",持续性高漏失或不断上升,"[""漏失持续不降甚至"", ""泥浆池下降速度不"", ""堵漏后仍易复漏""]",持续上升或加速型漏失,"[""Pw"", ""Pp"", ""fracture_gro"", ""rock_tensile""]","[""泵压与漏速趋势监"", ""必要时进行地应力""]",极高,常>200 bbl/h，可迅速接近泵入排量,严重失返风险显著，需要联合调压、堵漏和可能的结构调整。,《井漏机理和对策》
MR_015,泥浆流变性控制裂缝漏失深度和范围,裂缝性漏失,中度,"[""裂缝性储层"", ""中等裂缝规模地层""]","{""fracture_aperture"":""中"",""fluid_type"":""非牛顿""}","[""中等宽度裂缝""]",泥浆流变性控制裂缝漏,"概述：非牛顿钻井液的屈服应力和流变指数决定裂缝内流动深度，从而影响漏失规模。
在裂缝内流动的钻井液多表现为屈服-假塑性流体，其屈服应力τy和流变指数n决定裂缝内有效流动深度。屈服应力高、黏度大时，裂缝内流动阻力大，流体不易深入远端，漏失深度和体积受限；流变性偏稀时，裂缝内流动容易延伸至更远位置，漏失范围和体积明显增大。",泥浆表现为非牛顿流体，屈服应力和黏度与裂缝宽度存在显著耦合。,"[{""param"": ""tau_y"", ""op"": "">"", ""value"": ""阈值""}, {""param"": ""PV"", ""op"": "">"", ""value"": ""下限""}]",与流变性相关，稠浆漏失缓慢、稀浆漏失敏感,"[""高PV/YP泥浆"", ""低PV泥浆在同一""]",流变依赖型漏失曲线,"[""tau_y"", ""n"", ""PV"", ""YP"", ""fracture_wid"", ""Delta_p""]","[""室内流变测试"", ""现场漏失响应对比""]",中,受泥浆流变性强控制,通过提高屈服值和黏度，可显著降低裂缝漏失深度和漏失量。,《井漏机理和对策》
MR_016,裂缝重张（Re-opening）导致漏失急剧加剧,裂缝性漏失,极重度,"[""构造裂缝带"", ""应力低区"", ""老井复钻井段""]","{""fracture_cohesion"":""低"",""fracture_face_stress"":""低""}","[""老闭合裂缝"", ""充填不完全裂缝""]",裂缝重张（Re-op,"概述：井底压力超过裂缝重张压力后，闭合裂缝重新开启并导致漏失急剧上升。
闭合或部分闭合的老裂缝在沉积或构造作用下处于关闭状态，当井底压力超过裂缝重张压力FRP后，裂缝再次张开，使原有不导流或弱导流通道转变为强导流通道。此时漏失常表现为泵压突然下降、漏速跳变，是严重裂缝性井漏的典型起点。",Pw > FRP 时裂缝重新开启，导流能力突增。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""FRP""}]",瞬时突增，之后高位维持或继续加剧,"[""漏失突增"", ""泵压急降"", ""回液显著减少""]",阶跃型或陡升型漏失曲,"[""FRP"", ""Pw"", ""sigma_H"", ""sigma_h"", ""fracture_ori""]","[""泵压曲线分析"", ""地应力与裂缝发育""]",极高,> 150–300 bbl/h，可迅速接近泵入排量,若不及时堵漏与调压，易发展为完全失返。,《井漏机理和对策》
MR_017,有限裂缝漏失：裂缝长度和空间受限导致漏失受控,裂缝性漏失,中度,"[""裂缝性储层"", ""短裂缝地层""]","{""fracture_length"":""有限"",""fracture_aperture"":""有限""}","[""短裂缝"", ""端部封闭裂缝""]",有限裂缝漏失：裂缝长,"概述：裂缝长度或空间有限时，漏失在填满可用空间后趋于稳定。
当裂缝长度有限或端部封闭时，钻井液只能在有限范围内渗入，裂缝空间被填充后压力梯度显著降低，进一步流动受限。此时漏失速率逐渐下降并趋于稳定，总漏失量呈现峰值受限特征。",裂缝长度有限且未与大型低压系统或孔洞连通。,"[{""param"": ""fracture_len"", ""op"": ""<"", ""value"": ""阈值""}, {""param"": ""fracture_con"", ""op"": ""="", ""value"": ""有限""}]",先快速增加后逐渐趋稳,"[""早期漏失明显，后"", ""泥浆池下降速度逐""]",缓升–平台型累积漏失,"[""fracture_len"", ""aperture"", ""Pw"", ""Pp""]","[""漏失量随时间记录"", ""必要时结合成像或""]",中,有限且可控,若配合堵漏措施，可在较短时间内实现漏失基本稳定或停止。,《井漏机理和对策》
MR_018,裂缝初始条件（含气/含液）对漏失响应的影响,裂缝性漏失,中度,"[""裂缝性储层"", ""含气裂缝带""]","{""fracture_initial_fluid"":""gas/liquid"",""fracture_state"":""open/closed""}","[""含气裂缝"", ""半充填裂缝""]",裂缝初始条件（含气/,"概述：裂缝内初始气体或流体压力状态影响漏失发生的延迟和强度。
若裂缝内初始含气或内部压力远低于井底压力，则钻井液进入裂缝前需压缩气体或填充空隙，可能导致漏失延迟；压缩完成后漏失突然增强，表现为延迟-突增型。若裂缝内已充满流体且压力较高，则需更大压差才能启动漏失。裂缝初始状态显著影响漏失时刻和压力响应。",裂缝初始含气率高或内压低时更易表现延迟型漏失。,"[{""param"": ""fracture_ini"", ""op"": ""="", ""value"": ""gas""}, {""param"": ""Pw"", ""op"": "">"", ""value"": ""fracture""}]",延迟后突然突增,"[""初期无明显漏失"", ""一段时间后漏速瞬"", ""泵压先轻微升高后""]",延迟–突增型漏失曲线,"[""fracture_int"", ""initial_flui"", ""fluid_compre"", ""Pw""]","[""泵压变化趋势分析"", ""及时记录漏失起始""]",中,变化大，初期接近零，后期显著增加,易误判为井涌或异常，应结合压力–时间模式进行机制识别。,《井漏机理和对策》
MR_019,裂缝方向与地应力主轴控制漏失敏感性,裂缝性漏失,中–重度,"[""构造应力发育区"", ""多方向裂缝带""]","{""fracture_orientations"":""多"",""stress_anisotropy"":""明显""}","[""多方位裂缝"", ""斜交裂缝""]",裂缝方向与地应力主轴,"概述：裂缝相对于地应力主轴的位置决定其重张难度和漏失敏感性。
裂缝方向不同，其承受的法向应力和剪切应力不同，再开启所需的井底压力也不同。与最大水平应力垂直的裂缝更易被张开，导致漏失敏感性高；与最小水平应力平行的裂缝重张压力较高，漏失不易发生。多方向裂缝叠加会使漏失表现复杂多变。",地应力各向异性显著，不同方向裂缝承压差异大。,"[{""param"": ""sigma_H_minu"", ""op"": "">"", ""value"": ""阈值""}, {""param"": ""fracture_ori"", ""op"": ""~"", ""value"": ""principa""}]",不规则，受方位与操作影响显著,"[""漏失对某些压力变"", ""同层位不同井漏失""]",方向依赖型漏失曲线,"[""sigma_H"", ""sigma_h"", ""fracture_ori"", ""Pw""]","[""应力场反演"", ""井壁成像测井"", ""多井对比分析""]",中–高,取决于裂缝主导方向及其与井眼关系,需结合地应力场和裂缝方位综合设计井眼轨迹与压力窗口。,《井漏机理和对策》
MR_020,裂缝再开启压力 FRP 的地应力控制机理,裂缝性漏失,重度,"[""裂缝性储层"", ""老裂缝发育区""]","{""fracture_face_stress"":""受地应力控制""}","[""闭合裂缝"", ""隐伏裂缝""]",裂缝再开启压力FRP,"概述：裂缝再开启压力FRP由最大与最小水平应力组合决定，是裂缝重张的关键判据。
闭合裂缝再开启所需压力FRP与地层最小水平应力σh、最大水平应力σH及孔隙压力等参数有关。一般形式可近似表示为FRP≥1/2(3σh−σH−Pp)，应力差越大，裂缝越易重新张开。FRP给出了避免裂缝重张的上限压力约束，是确定安全泥浆密度窗口的重要机理参数。",井底压力Pw超过FRP时裂缝再次张开并开始强导流。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""FRP""}]",突增型,"[""在某一压力阈值附"", ""泵压超过某值后井""]",出现临界阈值型阶跃曲,"[""sigma_H"", ""sigma_h"", ""Pp"", ""FRP"", ""Pw""]","[""地应力测试与反演"", ""现场试压数据分析""]",高,一旦超过FRP，漏失强度显著增加,制定泥浆密度和ECD控制策略时需避开FRP以上压力区间。,《井漏机理和对策》
MR_021,裂缝重张三阶段演化机理,裂缝性漏失,重度,"[""天然裂缝发育区"", ""构造弱应力带""]","{""fracture_state"":""闭合-可重张"",""stress_level"":""低""}","[""老裂缝"", ""闭合裂缝""]",裂缝重张三阶段演化机,"概述：裂缝重张通常经历入口重张、沿裂缝扩展、深部重张三个阶段。
闭合裂缝在井底压力升高后首先在井壁附近发生入口重张，漏失突然启动；随后裂缝沿走向逐渐扩展，导流能力增强；当压力持续作用时，裂缝远端也发生重张，使有效渗流深度进一步增加。整个过程表现为漏失多阶段增强，是重度裂缝漏失的重要动力学模式。",Pw 超过局部重张压力后逐步触发三阶段演化。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""local_FR""}]",阶段性加剧,"[""漏失先突增后持续"", ""泵压多次跳变"", ""返速持续下降""]",多阶段阶跃型漏失曲线,"[""Pw"", ""FRP"", ""fracture_len"", ""rock_strengt"", ""time_under_h""]","[""泵压与漏速随时间"", ""操作记录对比""]",高,>150 bbl/h 且可持续增强,若不干预，容易逐级恶化进入失返状态。,《井漏机理和对策》
MR_022,裂缝尖端压力传递导致快速漏失,裂缝性漏失,重度,"[""裂缝发育地层""]","{""fracture_tip_stress"":""低"",""rock_toughness"":""中等""}","[""裂缝尖端高敏感区""]",裂缝尖端压力传递导致,"概述：裂缝尖端区域应力集中与压力传递可导致裂缝快速扩展并引发快速漏失。
井底压力升高后，压力波优先传递至裂缝尖端区域，使尖端附近有效应力显著降低。当尖端强度不足以抵抗该压力时，裂缝迅速向前扩展，从而使导流通道延伸并漏失显著加剧。尖端主导的扩展过程常导致漏失在极短时间内突然变大。",Pw的上升或循环工况变化使裂缝尖端局部应力失稳。,"[{""param"": ""Pw"", ""op"": "">"", ""value"": ""tip_stre""}]",瞬间突增型,"[""漏速在短时间内大"", ""泵压快速下降"", ""操作扰动与漏失加""]",尖端主导的突增曲线,"[""tip_strength"", ""Pw"", ""fracture_tou"", ""rock_modulus""]","[""泵压瞬态监测"", ""结合地应力与裂缝""]",高,高度依赖裂缝尖端扩展速度，通常为重度漏失水平,一旦尖端失稳扩展，后续堵漏难度显著增大。,《井漏机理和对策》
MR_023,裂缝再开启压力为区间而非单一压力,裂缝性漏失,中–重度,"[""多方向裂缝发育区"", ""复杂构造应力场""]","{""fracture_orientations"":""多"",""stress_variation"":""明显""}","[""多方向裂缝""]",裂缝再开启压力为区间,"概述：由于裂缝方位各异，裂缝再开启压力FRP呈区间分布，而非单一数值。
在多方向裂缝发育地层中，不同方位的裂缝承受的法向应力不同，其再开启所需压力也不同。一部分方向的裂缝在较低压力下即可被重新张开，而其它方向可能需要更高压力。因而现场表现为在一定压力区间内，漏失逐渐从轻度发展到重度，FRP更适合作为区间而非单点。",地应力各向异性明显，多组裂缝相互叠加。,"[{""param"": ""sigma_H_minu"", ""op"": "">"", ""value"": ""阈值""}, {""param"": ""fracture_ori"", ""op"": ""="", ""value"": ""多组""}]",不规则突增与逐步增强并存,"[""在一个压力区间内"", ""不同操作压力下漏""]",压力区间过渡型漏失曲,"[""sigma_H"", ""sigma_h"", ""fracture_ori"", ""Pw""]","[""应力场分析"", ""多井对比"", ""压裂/试压揭示的""]",中–高,随压力在FRP区间内变化呈连续增强趋势,需要将安全压力窗口设计为避开FRP区间，而不仅是单一上限值。,《井漏机理和对策》
